area_Id,Post Office Name,ÊPincode,Districts Name,City Name,State
98,Mangasulli,Ê591234,Belgaum, Belgaum,Karnataka
99,Mugalkhed,Ê591235,Belgaum, Belgaum,Karnataka
100,Nidsoshi,Ê591236,Belgaum, Belgaum,Karnataka
101,Nipani,Ê591237,Belgaum,Nipani,Karnataka
102,Nipani C R D,Ê591237,Belgaum, Belgaum,Karnataka
103,Nipani N C,Ê591237,Belgaum, Belgaum,Karnataka
104,Pattankudi,Ê591238,Belgaum, Belgaum,Karnataka
105,Sadalga,Ê591239,Belgaum, Belgaum,Karnataka
106,Satti,Ê591240,Belgaum, Belgaum,Karnataka
107,Saundalga,Ê591241,Belgaum, Belgaum,Karnataka
108,Soundalaga,Ê591241,Belgaum, Belgaum,Karnataka
109,Shirguppi,Ê591242,Belgaum, Belgaum,Karnataka
110,Thagarthi,Ê591243,Belgaum, Belgaum,Karnataka
111,Thanahattargi,Ê591243,Belgaum, Belgaum,Karnataka
112,Yaksamba,Ê591244,Belgaum, Belgaum,Karnataka
113,Yamakanmardi,Ê591245,Belgaum, Belgaum,Karnataka
114,Karadga,Ê591246,Belgaum, Belgaum,Karnataka
115,Chikodi Sugar Factory,Ê591247,Belgaum, Belgaum,Karnataka
116,Aigali,Ê591248,Belgaum, Belgaum,Karnataka
117,Ingalgoan,Ê591249,Belgaum, Belgaum,Karnataka
118,Kulgod,Ê591250,Belgaum, Belgaum,Karnataka
119,Ghoderi,Ê591251,Belgaum, Belgaum,Karnataka
120,Jugai,Ê591252,Belgaum, Belgaum,Karnataka
121,Yadgud,Ê591253,Belgaum, Belgaum,Karnataka
122,Daddi,Ê591254,Belgaum, Belgaum,Karnataka
123,Hidkal,Ê591255,Belgaum, Belgaum,Karnataka
124,Chamakere,Ê591256,Belgaum, Belgaum,Karnataka
125,Kohalli,Ê591257,Belgaum, Belgaum,Karnataka
126,Kempwad,Ê591258,Belgaum, Belgaum,Karnataka
127,Murgundi,Ê591259,Belgaum, Belgaum,Karnataka
128,Savadi,Ê591260,Belgaum, Belgaum,Karnataka
129,Darur,Ê591261,Belgaum, Belgaum,Karnataka
130,Gundewadi,Ê591262,Belgaum, Belgaum,Karnataka
131,Bhoj,Ê591263,Belgaum, Belgaum,Karnataka
132,Manjari,Ê591264,Belgaum, Belgaum,Karnataka
133,Telsang,Ê591265,Belgaum, Belgaum,Karnataka
134,Adahalli,Ê591266,Belgaum, Belgaum,Karnataka
135,Adhalli,Ê591266,Belgaum, Belgaum,Karnataka
136,Adi,Ê591267,Belgaum, Belgaum,Karnataka
137,Ammangi,Ê591268,Belgaum, Belgaum,Karnataka
138,Arjun Nagar,Ê591269,Belgaum, Belgaum,Karnataka
139,Belkad,Ê591270,Belgaum, Belgaum,Karnataka
140,Bhirdi,Ê591271,Belgaum, Belgaum,Karnataka
141,Chinchani,Ê591272,Belgaum, Belgaum,Karnataka
142,Chandur,Ê591273,Belgaum, Belgaum,Karnataka
143,Hirekudi,Ê591274,Belgaum, Belgaum,Karnataka
144,Hunnargi,Ê591275,Belgaum, Belgaum,Karnataka
145,Hunshyal,Ê591276,Belgaum, Belgaum,Karnataka
146,Janwad,Ê591279,Belgaum, Belgaum,Karnataka
147,Jatrat,Ê591280,Belgaum, Belgaum,Karnataka
148,Kadapur,Ê591281,Belgaum, Belgaum,Karnataka
149,Kallol,Ê591282,Belgaum, Belgaum,Karnataka
150,Kollol,Ê591282,Belgaum, Belgaum,Karnataka
151,Kerur,Ê591283,Belgaum,Kerur,Karnataka
152,Kodni,Ê591284,Belgaum, Belgaum,Karnataka
153,Kurli,Ê591285,Belgaum, Belgaum,Karnataka
154,Kurnad,Ê591285,Belgaum, Belgaum,Karnataka
155,Kurni,Ê591286,Belgaum, Belgaum,Karnataka
156,Kothali,Ê591287,Belgaum, Belgaum,Karnataka
157,Kunnur,Ê591288,Belgaum, Belgaum,Karnataka
158,Mallikwad,Ê591289,Belgaum, Belgaum,Karnataka
159,Mangur,Ê591290,Belgaum, Belgaum,Karnataka
160,Mangutti,Ê591291,Belgaum, Belgaum,Karnataka
161,Masaguppi,Ê591292,Belgaum, Belgaum,Karnataka
162,Nagar Munoli,Ê591293,Belgaum, Belgaum,Karnataka
163,Nanadi,Ê591295,Belgaum, Belgaum,Karnataka
164,Nej,Ê591296,Belgaum, Belgaum,Karnataka
165,New Diggewadi,Ê591297,Belgaum, Belgaum,Karnataka
166,Nilagi,Ê591298,Belgaum, Belgaum,Karnataka
167,Nasalapur,Ê591299,Belgaum, Belgaum,Karnataka
168,Londa,Ê591301,Belgaum,Londa,Karnataka
169,Khanapur,Ê591302,Belgaum,Khanapur,Karnataka
170,Khanapur Town,Ê591302,Belgaum, Belgaum,Karnataka
171,Ainapura,Ê591303,Belgaum, Belgaum,Karnataka
172,Air Force Station,Ê591303,Belgaum, Belgaum,Karnataka
173,Athni,Ê591304,Belgaum,Athni,Karnataka
174,Athni Bazar,Ê591304,Belgaum, Belgaum,Karnataka
175,Athni Bus Stand,Ê591304,Belgaum, Belgaum,Karnataka
176,Bellad Bagewadi,Ê591305,Belgaum, Belgaum,Karnataka
177,Ghataprabha R S,Ê591306,Belgaum, Belgaum,Karnataka
178,Gokak,Ê591307,Belgaum,Gokak,Karnataka
179,Gokak College Road,Ê591307,Belgaum, Belgaum,Karnataka
180,Gokak Fort,Ê591307,Belgaum, Belgaum,Karnataka
181,Gokak Guruwarpeth,Ê591307,Belgaum, Belgaum,Karnataka
182,Gokak Raviwarpet,Ê591307,Belgaum, Belgaum,Karnataka
183,Gokak Falis,Ê591308,Belgaum, Belgaum,Karnataka
184,Hukeri,Ê591309,Belgaum,Hukeri,Karnataka
185,Hukeri Bazar,Ê591309,Belgaum, Belgaum,Karnataka
186,Karnatak Health Institute,Ê591310,Belgaum, Belgaum,Karnataka
187,Kudchi,Ê591311,Belgaum,Kudchi,Karnataka
188,Mudalagi,Ê591312,Belgaum, Belgaum,Karnataka
189,Sankeshwar,Ê591313,Belgaum,Sankeshwar,Karnataka
190,Sankeshwar Subhash Crcl,Ê591313,Belgaum, Belgaum,Karnataka
191,Sankeshwar Sugar Factory,Ê591314,Belgaum, Belgaum,Karnataka
192,Shedbai,Ê591315,Belgaum, Belgaum,Karnataka
193,Ugarkhurd,Ê591316,Belgaum, Belgaum,Karnataka
194,Raibag,Ê591317,Belgaum, Belgaum,Karnataka
195,Arbhaviamath,Ê591318,Belgaum, Belgaum,Karnataka
196,Nagnur,Ê591319,Uttar Kannada,Karwar,Karnataka
197,Ugarbudruk,Ê591320,Belgaum, Belgaum,Karnataka
198,Gulbalgud,Ê591321,Belgaum, Belgaum,Karnataka
199,Mole,Ê591322,Belgaum, Belgaum,Karnataka
200,Hulagbabi,Ê591323,Belgaum, Belgaum,Karnataka
201,Kakamari,Ê591324,Belgaum, Belgaum,Karnataka
202,Parthanahalli,Ê591327,Belgaum, Belgaum,Karnataka
203,Shegunshi,Ê591328,Belgaum, Belgaum,Karnataka
204,Paramanandawadi,Ê591329,Belgaum, Belgaum,Karnataka
205,Shirgur,Ê591330,Belgaum, Belgaum,Karnataka
206,Garlgungji,Ê591331,Belgaum, Belgaum,Karnataka
207,Bekkere,Ê591332,Belgaum, Belgaum,Karnataka
208,Dharmatti,Ê591333,Belgaum, Belgaum,Karnataka
209,Hulloli,Ê591334,Belgaum, Belgaum,Karnataka
210,Melavanki,Ê591337,Belgaum, Belgaum,Karnataka
211,Nandi Kurli,Ê591339,Belgaum, Belgaum,Karnataka
212,Nerli,Ê591340,Belgaum, Belgaum,Karnataka
213,Yelimanoli,Ê591343,Belgaum, Belgaum,Karnataka
214,Khanagaon,Ê591344,Belgaum, Belgaum,Karnataka
215,Sambargi,Ê591501,Belgaum, Belgaum,Karnataka
216,Saunbuddi,Ê591502,Belgaum, Belgaum,Karnataka
217,Saptasagar,Ê591503,Belgaum, Belgaum,Karnataka
218,Saundatti,Ê591504,Belgaum, Belgaum,Karnataka
219,Shamnewadi,Ê591505,Belgaum, Belgaum,Karnataka
220,Shindikurbet,Ê591506,Belgaum, Belgaum,Karnataka
221,Solapur,Ê591507,Belgaum, Belgaum,Karnataka
222,Sundhadi,Ê591508,Belgaum, Belgaum,Karnataka
223,Talakatnal,Ê591509,Belgaum, Belgaum,Karnataka
224,Ullagaddi,Ê591510,Belgaum, Belgaum,Karnataka
225,Walki,Ê591511,Belgaum, Belgaum,Karnataka
226,Yadur,Ê591512,Belgaum, Belgaum,Karnataka
227,Yedur,Ê591512,Belgaum, Belgaum,Karnataka
228,Waderhatti,Ê591513,Belgaum, Belgaum,Karnataka
229,Haragapur,Ê591514,Belgaum, Belgaum,Karnataka
230,Kankanwadi,Ê591515,Belgaum, Belgaum,Karnataka
231,Yabaratti,Ê591516,Belgaum, Belgaum,Karnataka
232,Yebaratti,Ê591516,Belgaum, Belgaum,Karnataka
233,Manakapura,Ê591517,Belgaum, Belgaum,Karnataka
234,Mankapur,Ê591517,Belgaum, Belgaum,Karnataka
235,Vakkund,Ê591701,Belgaum, Belgaum,Karnataka
236,Kadbi,Ê591702,Belgaum, Belgaum,Karnataka
237,Kadoloi,Ê591702,Belgaum, Belgaum,Karnataka
238,Chunchanur,Ê591703,Belgaum, Belgaum,Karnataka
239,Chidambarnagar,Ê591802,Belgaum, Belgaum,Karnataka
240,Nekarpet Ramdurg,Ê591812,Belgaum, Belgaum,Karnataka
241,Angappanaicken Street,Ê600001,Chennai,Chennai,Tamil Nadu
242,Flower Bazar,Ê600001,Chennai,Chennai,Tamil Nadu
243,Govt Stanely Hospital,Ê600001,Chennai,Chennai,Tamil Nadu
244,Kothwal Market,Ê600001,Chennai,Chennai,Tamil Nadu
245,M P T Admn Office,Ê600001,Chennai,Chennai,Tamil Nadu
246,Madras Gpo,Ê600001,Chennai,Chennai,Tamil Nadu
247,Mannady,Ê600001,Chennai,Chennai,Tamil Nadu
248,Mint Buildings,Ê600001,Chennai,Chennai,Tamil Nadu
249,Monegar Choultry,Ê600001,Chennai,Chennai,Tamil Nadu
250,Muthialpet,Ê600001,Chennai,Chennai,Tamil Nadu
251,Sembier Street,Ê600001,Chennai,Chennai,Tamil Nadu
252,Seven Wells,Ê600001,Chennai,Chennai,Tamil Nadu
253,Wal Tax Road,Ê600001,Chennai,Chennai,Tamil Nadu
254,Anna Road H O,Ê600002,Chennai,Chennai,Tamil Nadu
255,Annaroad Sourth,Ê600002,Chennai,Chennai,Tamil Nadu
256,Chintadripeta,Ê600002,Chennai,Chennai,Tamil Nadu
257,Government Estate,Ê600002,Chennai,Chennai,Tamil Nadu
258,Madras Electricity System,Ê600002,Chennai,Chennai,Tamil Nadu
259,Pudupet,Ê600002,Chennai,Chennai,Tamil Nadu
260,Central Station,Ê600003,Chennai,Chennai,Tamil Nadu
261,Dr Ambedkarnagar,Ê600003,Chennai,Chennai,Tamil Nadu
262,Edapalayam,Ê600003,Chennai,Chennai,Tamil Nadu
263,Madras Medical College,Ê600003,Chennai,Chennai,Tamil Nadu
264,Park Town,Ê600003,Chennai,Chennai,Tamil Nadu
265,Ripon Buildings,Ê600003,Chennai,Chennai,Tamil Nadu
266,Luz Church Road,Ê600004,Chennai,Chennai,Tamil Nadu
267,Mandavalli,Ê600004,Chennai,Chennai,Tamil Nadu
268,Ms Vivekanands College,Ê600004,Chennai,Chennai,Tamil Nadu
269,Mylopore,Ê600004,Chennai,Chennai,Tamil Nadu
270,Nochikuppam Colony,Ê600004,Chennai,Chennai,Tamil Nadu
271,Police Head Quarters,Ê600004,Chennai,Chennai,Tamil Nadu
272,Royapettah High Road,Ê600004,Chennai,Chennai,Tamil Nadu
273,Santhome,Ê600004,Chennai,Chennai,Tamil Nadu
274,Chepauk,Ê600005,Chennai,Chennai,Tamil Nadu
275,Krishnampet,Ê600005,Chennai,Chennai,Tamil Nadu
276,Madras Presidency College,Ê600005,Chennai,Chennai,Tamil Nadu
277,Madras University,Ê600005,Chennai,Chennai,Tamil Nadu
278,Parthasarathy Koil,Ê600005,Chennai,Chennai,Tamil Nadu
279,Tiruvellikeni,Ê600005,Chennai,Chennai,Tamil Nadu
280,Cathedral,Ê600006,Chennai,Chennai,Tamil Nadu
281,Greams Road,Ê600006,Chennai,Chennai,Tamil Nadu
282,Old College Buildings,Ê600006,Chennai,Chennai,Tamil Nadu
283,Shastri Bhavan,Ê600006,Chennai,Chennai,Tamil Nadu
284,Teynampet West,Ê600006,Chennai,Chennai,Tamil Nadu
285,Vepery,Ê600007,Chennai,Chennai,Tamil Nadu
286,Egmore,Ê600008,Chennai,Chennai,Tamil Nadu
287,Egmore High Road,Ê600008,Chennai,Chennai,Tamil Nadu
288,Fort St George,Ê600009,Chennai,Chennai,Tamil Nadu
289,Kilpauk,Ê600010,Chennai,Chennai,Tamil Nadu
290,Kilpauk Garden Colony,Ê600010,Chennai,Chennai,Tamil Nadu
291,Kilpauk Medical College,Ê600010,Chennai,Chennai,Tamil Nadu
292,Kilpauk West,Ê600010,Chennai,Chennai,Tamil Nadu
293,Medavakkam Tank Road,Ê600010,Chennai,Chennai,Tamil Nadu
294,New Avadi Road,Ê600010,Chennai,Avadi,Tamil Nadu
295,Chinnaiah Mudali Colony,Ê600011,Chennai,Chennai,Tamil Nadu
296,Perambur,Ê600011,Chennai,Chennai,Tamil Nadu
297,Perambur North,Ê600011,Chennai,Chennai,Tamil Nadu
298,Sembiam,Ê600011,Chennai,Chennai,Tamil Nadu
299,Decoster Road,Ê600012,Chennai,Chennai,Tamil Nadu
300,Kosapet,Ê600012,Chennai,Chennai,Tamil Nadu
301,Perambur Barracks,Ê600012,Chennai,Chennai,Tamil Nadu
302,Perambur High Road,Ê600012,Chennai,Chennai,Tamil Nadu
303,Pulianthope,Ê600012,Chennai,Chennai,Tamil Nadu
304,Syrahans Road,Ê600012,Chennai,Chennai,Tamil Nadu
305,Venkatesapuram,Ê600012,Chennai,Chennai,Tamil Nadu
306,Kalmandapam,Ê600013,Chennai,Chennai,Tamil Nadu
307,Kasimode,Ê600013,Chennai,Chennai,Tamil Nadu
308,Rayapuram Madras,Ê600013,Chennai,Chennai,Tamil Nadu
309,Rayapuram Market,Ê600013,Chennai,Chennai,Tamil Nadu
310,Goudiyamath Road,Ê600014,Chennai,Chennai,Tamil Nadu
311,Jam Bazaar,Ê600014,Chennai,Chennai,Tamil Nadu
312,Ligods Estate,Ê600014,Chennai,Chennai,Tamil Nadu
